state,nname,borough
NY,Astoria,Queens
NY,Williamsburg,Brooklyn
NY,Upper East Side,Manhattan
NY,Lenox Hill,Manhattan
NY,Yorkville,Manhattan
NY,Upper West Side,Manhattan
NY,East Harlem,Manhattan
NY,Bedford Stuyvesant,Brooklyn
NY,Park Slope,Brooklyn
NY,Chelsea,Manhattan
NY,Fort Greene,Brooklyn
NY,East Village,Manhattan
NY,Lower East Side,Manhattan
NY,Midtown,Manhattan
NY,Financial District,Manhattan
NY,Greenwich Village,Manhattan
NY,Greenpoint,Brooklyn
NY,Hunters Point,Queens
NY,Crown Heights,Brooklyn
NY,Clinton,Manhattan
NY,Red Hook,Brooklyn
NY,Harlem,Manhattan
NY,Tribeca,Manhattan
NY,Flatiron District,Manhattan
NY,Gowanus,Brooklyn
NY,Gramercy,Manhattan
NY,Carroll Gardens,Brooklyn
NY,Brooklyn Heights,Brooklyn
NY,Downtown,Manhattan
NY,Clinton Hill,Brooklyn
NY,Garment District,Manhattan
NY,Turtle Bay,Manhattan
NY,Morningside Heights,Manhattan
NY,Prospect Heights,Brooklyn
NY,West Village,Manhattan
NY,Central Park,Manhattan
NY,SoHo,Manhattan
NY,Boerum Hill,Brooklyn
NY,Battery Park City,Manhattan
NY,Manhattanville,Manhattan
NY,Two Bridges,Manhattan
NY,Little Italy,Manhattan
NY,Murray Hill,Manhattan
NY,DUMBO,Brooklyn
NY,Columbus Circle,Manhattan
NY,Sutton Place,Manhattan
NY,Navy Yard,Brooklyn
NY,Carnegie Hill,Manhattan
NY,Chinatown,Manhattan
NY,Stuyvesant Town,Manhattan
NY,NoHo,Manhattan
NY,Civic Center,Manhattan
NY,Prospect Lefferts Gardens,Brooklyn
NY,Sunnyside,Queens
NY,Columbia Street Waterfront District,Brooklyn
NY,Cobble Hill,Brooklyn
NY,Governors Island,Manhattan
NY,Tudor City,Manhattan
NY,Kips Bay,Manhattan
NY,Greenwood,Brooklyn
NY,Sunset Park,Brooklyn
NY,Prospect Park,Brooklyn
