state,nname,section
NY,Inwood,Upper Manhattan
NY,Fort George,Upper Manhattan
NY,Sugar Hill,Upper Manhattan
NY,Harlem,Upper Manhattan
NY,East Harlem,Upper Manhattan
NY,Manhattanville,Upper Manhattan
NY,Morningside Heights,Upper Manhattan
NY,Lenox Hill,Upper East Side
NY,Yorkville,Upper East Side
NY,Upper East Side,Upper East Side
NY,Carnegie Hill,Upper East Side
NY,Upper West Side,Upper West Side
NY,Central Park,Manhattan
NY,Columbus Circle,Midtown
NY,Clinton,Midtown
NY,Chelsea,Midtown
NY,Murray Hill,Midtown
NY,Turtle Bay,Midtown
NY,Kips Bay,Midtown
NY,Tudor City,Midtown
NY,Midtown,Midtown
NY,Stuyvesant Town,Midtown
NY,Flatiron District,Midtown
NY,Gramercy,Midtown
NY,Sutton Place,Midtown
NY,Garment District,Midtown
NY,East Village,Lower Manhattan
NY,West Village,Lower Manhattan
NY,Greenwich Village,Lower Manhattan
NY,Tribeca,Lower Manhattan
NY,Downtown,Lower Manhattan
NY,SoHo,Lower Manhattan
NY,Little Italy,Lower Manhattan
NY,NoHo,Lower Manhattan
NY,Lower East Side,Lower Manhattan
NY,Chinatown,Lower Manhattan
NY,Two Bridges,Lower Manhattan
NY,Civic Center,Lower Manhattan
NY,Battery Park City,Lower Manhattan
NY,Financial District,Lower Manhattan
